iter	Passed	Remaining
0	6	6232
1	12	6156
2	16	5430
3	20	5114
4	26	5255
5	30	5088
6	35	4966
7	39	4840
8	45	4961
9	49	4936
10	53	4839
11	59	4876
12	63	4799
13	67	4744
14	71	4696
15	77	4769
16	81	4714
17	85	4674
18	90	4679
19	94	4640
20	99	4627
21	103	4589
22	108	4599
23	112	4558
24	116	4529
25	119	4491
26	125	4507
27	129	4481
28	133	4459
29	137	4443
30	142	4461
31	147	4457
32	151	4434
33	156	4452
34	160	4424
35	164	4399
36	168	4374
37	173	4389
38	177	4370
39	181	4350
40	185	4334
41	190	4335
42	194	4318
43	197	4299
44	202	4301
45	207	4302
46	211	4297
47	216	4288
48	222	4312
49	227	4322
50	231	4314
51	237	4325
52	241	4310
53	245	4292
54	248	4275
55	254	4287
56	259	4286
57	263	4274
58	268	4281
59	272	4266
60	276	4250
61	280	4237
62	285	4243
63	289	4230
64	293	4220
65	297	4207
66	302	4213
67	306	4205
68	310	4194
69	315	4197
70	320	4192
71	325	4197
72	332	4222
73	337	4221
74	342	4223
75	347	4228
76	352	4228
77	357	4227
78	361	4212
79	367	4220
80	371	4209
81	375	4198
82	380	4201
83	384	4190
84	388	4178
85	391	4165
86	397	4168
87	401	4158
88	405	4147
89	408	4134
90	414	4139
91	418	4130
92	422	4120
93	426	4113
94	431	4112
95	435	4102
96	439	4092
97	444	4094
98	449	4093
99	454	4087
100	458	4079
101	463	4080
102	467	4073
103	471	4062
104	476	4061
105	480	4051
106	484	4045
107	488	4037
108	493	4036
109	497	4027
110	501	4018
111	505	4008
112	510	4009
113	514	3999
114	519	3997
115	524	3996
116	529	3993
117	533	3987
118	537	3981
119	543	3983
120	547	3977
121	551	3970
122	557	3973
123	562	3974
124	567	3971
125	572	3971
126	577	3970
127	581	3961
128	585	3953
129	591	3955
130	595	3947
131	598	3938
132	603	3933
133	608	3929
134	611	3920
135	615	3912
136	620	3911
137	625	3904
138	629	3896
139	633	3891
140	638	3890
141	642	3883
142	647	3878
143	652	3876
144	657	3874
145	661	3870
146	665	3863
147	671	3865
148	675	3858
149	679	3850
150	684	3846
151	688	3842
152	693	3836
153	697	3829
154	702	3830
155	707	3829
156	713	3831
157	719	3834
158	724	3831
159	728	3823
160	733	3824
161	737	3817
162	741	3809
163	745	3801
164	751	3803
165	755	3796
166	759	3789
167	765	3789
168	770	3787
169	774	3783
170	779	3778
171	784	3777
172	788	3771
173	792	3763
174	798	3764
175	802	3758
176	807	3755
177	812	3752
178	817	3747
179	821	3740
180	825	3733
181	830	3730
182	834	3723
183	838	3717
184	845	3724
185	850	3723
186	855	3721
187	861	3721
188	866	3718
189	871	3713
190	876	3711
191	881	3708
192	885	3702
193	889	3695
194	895	3696
195	899	3691
196	904	3687
197	909	3685
198	913	3678
199	917	3671
200	922	3665
201	927	3663
202	931	3656
203	935	3650
204	939	3644
205	944	3641
206	948	3635
207	952	3628
208	958	3627
209	963	3624
210	968	3622
211	975	3625
212	981	3625
213	986	3621
214	993	3627
215	998	3625
216	1003	3620
217	1009	3621
218	1014	3618
219	1019	3613
220	1024	3611
221	1028	3604
222	1032	3599
223	1037	3595
224	1041	3589
225	1045	3582
226	1049	3575
227	1055	3573
228	1059	3566
229	1063	3560
230	1067	3553
231	1073	3552
232	1079	3551
233	1083	3545
234	1089	3546
235	1094	3544
236	1099	3538
237	1104	3535
238	1108	3529
239	1112	3522
240	1116	3516
241	1121	3514
242	1126	3508
243	1130	3501
244	1135	3499
245	1139	3493
246	1143	3486
247	1147	3480
248	1152	3476
249	1156	3470
250	1160	3463
251	1165	3459
252	1170	3456
253	1175	3452
254	1180	3448
255	1185	3444
256	1189	3438
257	1193	3433
258	1198	3429
259	1203	3423
260	1207	3417
261	1212	3414
262	1218	3413
263	1222	3408
264	1226	3403
265	1232	3400
266	1236	3394
267	1240	3388
268	1245	3384
269	1250	3380
270	1254	3373
271	1258	3367
272	1263	3364
273	1268	3359
274	1272	3353
275	1277	3350
276	1282	3347
277	1287	3343
278	1291	3337
279	1297	3336
280	1301	3330
281	1305	3325
282	1311	3322
283	1315	3317
284	1319	3310
285	1323	3305
286	1329	3301
287	1333	3296
288	1337	3290
289	1342	3287
290	1347	3282
291	1351	3276
292	1355	3270
293	1360	3267
294	1364	3261
295	1368	3255
296	1373	3250
297	1378	3247
298	1383	3243
299	1387	3236
300	1392	3234
301	1397	3228
302	1401	3222
303	1405	3218
304	1410	3213
305	1414	3207
306	1418	3201
307	1423	3198
308	1428	3194
309	1432	3188
310	1436	3182
311	1441	3178
312	1445	3172
313	1449	3166
314	1454	3163
315	1458	3157
316	1463	3153
317	1469	3151
318	1475	3149
319	1480	3145
320	1484	3140
321	1489	3137
322	1493	3131
323	1498	3125
324	1503	3123
325	1507	3117
326	1512	3111
327	1515	3105
328	1521	3102
329	1525	3097
330	1529	3091
331	1534	3087
332	1538	3082
333	1542	3076
